FleetCode,FleetName,id
UNCL.FLEETS,OTHERS (Unclassified fleets),1
DZA,Algerie,2
DZA-JPN,Algerie(Japan),3
DZA-KOR,Algerie(Korea),4
DZA-TUR,Algerie(Turkey),5
ARG,Argentina,6
BRA-BRB,Brazil (Barbados),7
BRA-BOL,Brazil (Bolivia),8
BRA-BOL-NATAL,Brazil (Bolivia - Natal),9
BRA,Brazil,10
BRA-BRA-RECIFE,Brazil (based in Recife),11
BRA-BRA-ITAJAI,Brazil (based in Itajai),12
BRA-BRA-CABDELO,Brazil (based in Cabedelo),13
BRA-BRA-NATAL,Brazil (based in Natal),14
BRA-BRA-RGRANDE,Brazil (based in Rio Grande),15
BRA-BRA-SANTOS,Brazil (based in Santos),16
BRA-BRA-RJANERO,Brazil (based in R. Janeiro),17
BRA-BRA-BELEM,Brazil (based in Belem),18
BRA-BRA-ITAIPAVA,Brazil (based in Itaipava),19
BRA-BRA-VITORIA,Brazil (based in Vitoria),20
BRA-BRA-FNORONHA,Brazil (based in Fernando de Noronha),21
BRA-BRA-SPAULO,Brazil (based in Sao Paulo),22
BRA-BRA-FORTALEZA,Brazil (based in Fortaleza),23
BRA-BRA-ALCOBAÇA,Brazil (based in Alcobaça),24
BRA-BRA-ANCHIETA,Brazil (based in Anchieta),25
BRA-BRA-ADOSREIS,Brazil (based in Angra Dos Reis),26
BRA-BRA-GUARAPARI,Brazil (based in Guarapari),27
BRA-BRA-NAVEGANTES,Brazil (based in Navegantes),28
BRA-BRA-PIUMA,Brazil (based in Piuma),29
BRA-BRA-PIVUS,Brazil (based in Pivus),30
BRA-BRA-SCRUZ,Brazil (based in Santa Cruz),31
BRA-BRA-PBELO,Brazil (based in Porto Belo),32
BRA-BRA-CFRIO,Brazil (based in Cabo Frio),33
BRA-BRA-CAMOCIM,Brazil (based in Camocim),34
BRA-BRA-SLUIS,Brazil (based in São Luís),35
BRA-BRA-PARNAIBA,Brazil (based in Parnaíba),36
BRA-BRA-SALVADOR,Brazil (based in Salvador),37
BRA-BRA-PESSOA,Brazil (based in Joao Pessoa),38
BRA-BRA-ESPIRITO,Brazil (based in Espirito Santo),39
BRA-BRA-NITEROI,Brazil (based in Niteroi),40
BRA-BRA-ARACAJU,Brazil (based in Aracaju),41
BRA-BLZ,Brazil (Belize),42
BRA-CAN,Brazil (Canada),43
